,O_All Other 3s,O_In the Paint,O_Rim,O_Corner 3 Left,O_Corner 3 Right,O_Mid 2,D_All Other 3s,D_In the Paint,D_Rim,D_Corner 3 Left,D_Corner 3 Right,D_Mid 2
Maine,0.23529411764705882,0.4,0.5483870967741935,0.6666666666666666,0.4,0.3076923076923077,0.28125,0.55,0.6382978723404256,0.0,0.5,0.0
Manhattan,0.35714285714285715,0.4,0.56,0.2,0.5,0.2,0.35294117647058826,0.4444444444444444,0.525,0.0,0.0,0.25
Marist,0.29577464788732394,0.4888888888888889,0.5423728813559322,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.26506024096385544,0.4909090909090909,0.5915492957746479,0.5555555555555556,0.3125,0.3333333333333333
Marquette,0.39176829268292684,0.45047169811320753,0.6017316017316018,0.5283018867924528,0.48672566371681414,0.4382716049382716,0.3528225806451613,0.45964125560538116,0.6653919694072657,0.3584905660377358,0.45,0.3684210526315789
Marshall,0.36470588235294116,0.37037037037037035,0.5748031496062992,0.45454545454545453,0.34782608695652173,0.40816326530612246,0.3096774193548387,0.4298245614035088,0.5987654320987654,0.4444444444444444,0.4166666666666667,0.3230769230769231
Maryland,0.3563714902807775,0.41160949868073876,0.6979591836734694,0.35294117647058826,0.5208333333333334,0.36585365853658536,0.3368055555555556,0.4031413612565445,0.5770171149144254,0.38235294117647056,0.42857142857142855,0.36742424242424243
Maryland-Eastern Shore,0.1917808219178082,0.3484848484848485,0.5,0.25,0.4,0.36363636363636365,0.4605263157894737,0.5625,0.78,0.6153846153846154,0.5714285714285714,0.24
Massachusetts,0.40350877192982454,0.35172413793103446,0.6036269430051814,0.425,0.3380281690140845,0.3482142857142857,0.34210526315789475,0.3784860557768924,0.6465324384787472,0.2903225806451613,0.4166666666666667,0.3959731543624161
Massachusetts Lowell,0.3055555555555556,0.391304347826087,0.6363636363636364,0.5,0.5,0.3,0.2692307692307692,0.2727272727272727,0.7068965517241379,0.0,0.8,0.4
McNeese State,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.25,0.3333333333333333,0.4,0.2222222222222222,0.0,0.6571428571428571,0.3333333333333333,0.5,0.2857142857142857
Memphis,0.30714285714285716,0.44686648501362397,0.6417582417582418,0.3548387096774194,0.35714285714285715,0.3381294964028777,0.36750483558994196,0.36875,0.6032482598607889,0.4489795918367347,0.45714285714285713,0.3212121212121212
Mercer,0.3484848484848485,0.4864864864864865,0.7037037037037037,0.25,0.5,0.26666666666666666,0.18309859154929578,0.5,0.7272727272727273,0.75,0.2222222222222222,0.5555555555555556
Miami (FL),0.3580705009276438,0.38954869358669836,0.6914498141263941,0.3142857142857143,0.4406779661016949,0.31952662721893493,0.32669322709163345,0.3516483516483517,0.6417910447761194,0.3968253968253968,0.3333333333333333,0.3645320197044335
Miami (OH),0.3305785123966942,0.38095238095238093,0.5945945945945946,0.16666666666666666,0.16666666666666666,0.2894736842105263,0.31521739130434784,0.5,0.6582278481012658,0.1111111111111111,0.5,0.34782608695652173
Michigan,0.3268698060941828,0.4389027431421446,0.6801736613603473,0.5225225225225225,0.3709677419354839,0.2823529411764706,0.327683615819209,0.390625,0.6173020527859238,0.2916666666666667,0.38235294117647056,0.27106227106227104
Michigan State,0.4045936395759717,0.45145631067961167,0.7215909090909091,0.3958333333333333,0.41509433962264153,0.3963963963963964,0.3353566009104704,0.3358070500927644,0.4909819639278557,0.2972972972972973,0.3888888888888889,0.2996845425867508
Middle Tennessee,0.373134328358209,0.4,0.6625,0.4166666666666667,0.5357142857142857,0.32558139534883723,0.34265734265734266,0.40425531914893614,0.6846153846153846,0.3684210526315789,0.45454545454545453,0.4489795918367347
Milwaukee,0.20454545454545456,0.45,0.5925925925925926,0.0,0.6666666666666666,0.4722222222222222,0.3584905660377358,0.42,0.7142857142857143,0.8333333333333334,0.3333333333333333,0.23333333333333334
Minnesota,0.34608030592734224,0.3693877551020408,0.6514851485148515,0.23684210526315788,0.40476190476190477,0.3125,0.3631578947368421,0.3984375,0.6710816777041942,0.4666666666666667,0.42028985507246375,0.3014705882352941
Mississippi State,0.33052631578947367,0.4401114206128134,0.6818181818181818,0.2857142857142857,0.2857142857142857,0.36627906976744184,0.3352941176470588,0.41975308641975306,0.6394366197183099,0.3,0.358974358974359,0.3212121212121212
Missouri,0.36942675159235666,0.4198717948717949,0.6096491228070176,0.47191011235955055,0.4032258064516129,0.35064935064935066,0.32033898305084746,0.3946731234866828,0.6138211382113821,0.46153846153846156,0.3114754098360656,0.28523489932885904
Missouri State,0.3175182481751825,0.425531914893617,0.6774193548387096,0.2857142857142857,0.4411764705882353,0.36585365853658536,0.36904761904761907,0.3738738738738739,0.6432748538011696,0.3333333333333333,0.3181818181818182,0.37168141592920356
Missouri-St. Louis,0.2631578947368421,0.29411764705882354,0.75,1.0,0.0,0.25,0.35714285714285715,0.5454545454545454,0.875,0.0,0.0,0.16666666666666666
